Knockdown (Log10 of M41 HMFF/N99mode HMFF)	HMFF	Model	exer 01	exer 02	exer 03	exer 04	exer 05	exer 06	exer 07	exer 08	exer 09	exer 10	exer 11	exer 12	Notes	Tester	Test Date	MJA(cm) Max Jaw Amplitude	DeclaredProtocol	Acode	NON-3NF - LegacyCerts	NON-3NF - AttachmentType (non normalized, this should go in model table)
2.8	584.3	3M Aura 9210+	991	594	555	743	633	575	547	547	521	490	664	443		Tester_0026	2023_11_18	2.5	Crash2.5	1	N95	H
2.3	199.3	3M Aura 9210+	225	220	165										control check for dual setup	Tester_CA	2023_06_21			1	N95	H
2.2	174.6	3M Aura 9210+	213	148											control check for 8020	Tester_CA	2023_06_21			1	N95	H
2.2	174.1	3M Aura 9210+	323	86	242	392	120	397	286	84	351	452	80	270		Tester_CA	2023_05_26			1	N95	H
2.2	174.1	3M Aura 9210+	323	86	242	392	120	397	286	84	351	452	80	270	Tester_CA	Tester_CA	2023_05_27			1	N95	H
2.1	119	3M Aura 9210+	238	83	205	194	56	194	149	60	181	183	80	213		Tester_CA	2023_06_23			1	N95	H
2	110.5	3M Aura 9210+	203	66	226	160	58	221	167	56	193	249	56	192		Tester_CA	2023_06_21			1	N95	H
1.3	21.4	3M Aura 9210+	605	678	466	543	130	274	177	7.7	438	440	2.5	447	subject unknown, seal integrity: .973	Tester_CA	2023_11_10	2.5	Crash2.5	1	N95	H
2.1	138.3	3M Aura 9210+	67	75	234	578	526									Tester_CA_AF	2023_10_10		CrashUMshort	1	N95	H
2.3	196.7	3M Aura 9210+	102	94	731	609	509									Tester_CA_AF_L	2023_06_11		CrashUMshort	1	N95	H
1.9	85.8	3M Aura 9210+	57	63	78	143	199									Tester_FIG_AM	2023_06_03		CrashUMshort	1	N95	H
1.2	15	3M Aura 9210+	357	14	16	13	16	15	13	13	13	14	11	15	Crash2.5 cm stress test	Tester_FIG_AM	2023_08_18	2.5	Crash2.5	1	N95	H
2.4	236.4	3M Aura 9210+	305	202	251	361	137	223	381	336	326	197	145	298		Tester_FTTP_AF			CrashUM	1	N95	H
