Knockdown (Log10 of M41 HMFF/N99mode HMFF)	HMFF	Model	exer 01	exer 02	exer 03	exer 04	exer 05	exer 06	exer 07	exer 08	exer 09	exer 10	exer 11	exer 12	Notes	Tester	Test Date	MJA(cm) Max Jaw Amplitude	DeclaredProtocol	Acode	NON-3NF - LegacyCerts	NON-3NF - AttachmentType (non normalized, this should go in model table)
1.1	12.4	Jackson Safety Surewerx N95	28	19	28	32	17	10	12	12	8.9	10	9.9	5.7		Tester_CA	2023_06_23			1	N95	H
0.6	3.9	Jelli	5.7	6	4.1	4.8	4	3.9	3.2		4.4	2.7	3	3.8		Tester_FTTP_AM	2023_05_17		Crash	1		SingleHeadbandEarsaver
0.5	2.8	Jelli	4.2	4.4	4.4	4.7	4.8	1.8	1.7	1.8						Tester_FTTP_AM	2023_05_17		Crash	1		SingleHeadbandEarsaver
1.1	11.7	JSP Springfit 431	57	33	31	69	7.1	8.4	11	8.8	11	7.8	8.3	7.8		Tester_FTTP_AM	2023_01_30		Crash	1	FFP3	H
1	10.3	JSP Springfit 431	26	27	20	21	12	11	5.5	6.5	5.9	12	7.9	10		Tester_FTTP_AM	2023_02_09		Crash	1	FFP3	H
0.3	2.2	Kandymask L	2.8	2.3	2.4	2.1	2.2	2.6	1.8	2.2	2			2.1		Tester_FTTP_AM			CrashUM	1		E
0.5	3.5	Kaze KN95	3.1	4.2	4.7	3.6	3.4	4	2.8	3.7	2.6	3.8	4.1	3.5	default tightness, red	Tester_FTTP_AF	2023_03_10			1	KN95	E
0.4	2.4	Kaze KN95	2.8	3	2.5	3.3	2.1	2.7	2.5	2.1	2.3	2.1	2.2	2.2	default tightness, blue	Tester_FTTP_AM	2023_03_10		Crash	1	KN95	E
0.4	2.5	Kaze KN95	2.7	2.2	2.1	2.3	2.4	2.2	2.3	3.5	3.8	2.5	2.6	2	teal	Tester_FTTP_AM	2023_06_23		Crash	1	KN95	E
0.4	2.3	Kaze KN95	1.9	2.1	1.8	2.6	1.9	2.8	2.4	2.4	2.5	2.2	2.5	2.6	teal	Tester_FTTP_AM	2023_06_23		Crash	1	KN95	E
1.4	25.7	Kid95	21	31	27	26										Tester_CA_4M	2023_06_08		CrashUMshort	1		H
1	11.1	Kid95	139	137	140	117	102	11	7.7	6	6.3	5.7	5.6	7.1	6 ILRR	Tester_FTTP_AF	2023_04_01			1		H
1	11.1	Kid95	8.4	9.3	19	12	8.8	18	31	11	14	12	6.5	8.7		Tester_FTTP_AM	2023_03_29		Crash	1		H
1	10.8	Kid95	41	18	8.1	18	12	20	11	6.5	6.3	13	9.4	7.5		Tester_FTTP_AM	2023_03_29		Crash	1		H
0.7	5.5	Kid95	5.5	5.6	8.3	6.2	4	4.6	6	7	5.6	5.7	4.5	5.8		Tester_FTTP_AM	2023_03_29		Crash	1		H
0.7	5.5	Kid95	11	14	22	6	7.9	9.3	4.7	4.3	3.3	4.4	3	3.7		Tester_FTTP_AM	2023_03_29		Crash	1		H
0.7	5.3	Kid95	7.4	10	10	5.3	3.3	6.5	4.8	5.3	3.8	6	4.7	4.3		Tester_FTTP_AM	2023_03_31		Crash	1		H
0.4	2.7	Kimberly Clark 53358	4.6	3.8	3	3	3.2	2.8	2.3	2.1	2.3	2.2	2.5	2.8	candles 1E6	Tester_FTTP_AM	2023_03_17		Crash	1	N95	H
0.9	8.3	Kimberly Clark 53899	18	19	6.7	7.7	6.8	6.9	7.3	7.9	6.8	7.6	8.3	8.9		Tester_FTTP_AM	2023_04_06		Crash	1	N95	H
0.9	7.6	Kimberly Clark 53899	30	22	8.6	9	6.7	5.6	7.8	8.8	6.2	5.1	6	5.5		Tester_FTTP_AM	2023_04_06		Crash	1	N95	H
0.7	4.9	Kimberly Clark 53899	4.6	8.9	5.3	5.9	8	4.3	3.6	7.4	5.3	3.9	4.5	3.1	ambient	Tester_FTTP_AM	2023_03_15		Crash	1	N95	H
2.1	138	Koken Hi-Luck 350 - unadjusted	379	318	156	134	111	202	153	149	176	126	56	116		Tester_FTTP_AF	2023_11_24	2.5	Crash2.5	1	DS2	H
1.5	33.4	Koken Hi-Luck 350 - unadjusted	39	35	60	54	30	49	28	29	22	34	28	28		Tester_FTTP_AF	2023_11_23	2.5	Crash2.5	1	DS2	H
1	10.2	Laianzhi black HYX1002 large	91	3.2	89	120	2.3	80	75	7.1	27	24	7.2	88	subject unknown, seal integrity: .944	Tester_CA	2023_11_10	2.5	Crash2.5	1	KN100	H
1.5	35	Laianzhi black HYX1002 large	70	19	55	69	19	50	39	60	43	53	15	50	35	Tester_FTTP_AF	2023_11_09	2.5	Crash2.5	1	KN100	H
1.4	26.7	Laianzhi black HYX1002 large	44	12	47	58	15	63	61	21	25	25	17	53	27	Tester_FTTP_AF	2023_11_09	2.5	Crash2.5	1	KN100	H
2.3	199	Laianzhi black HYX1002 large	448	318	304	230	228	455	416	55	248	165	227	178		Tester_FTTP_AM	2023_11_07	2.5	Crash2.5	1	KN100	H
2.1	141.1	Laianzhi black HYX1002 large	77	148	245	114	351								interrupted	Tester_FTTP_AM	2023_11_07	2.5	Crash2.5	1	KN100	H
2.1	122.1	Laianzhi black HYX1002 large	232	48	275	297	128	191	175	44	202	347	81	223		Tester_FTTP_AM	2023_11_07	2.5	Crash2.5	1	KN100	H
1.9	82.4	Laianzhi black HYX1002 large	127	47	97	104	62	199	274	204	182	83	41	40		Tester_FTTP_AM	2023_11_07	2.5	Crash2.5	1	KN100	H
1.4	25.1	Laianzhi black HYX1002 medium	162	4	123	125	27	107	129	10	106	120	40	108	subject unknown, seal integrity: .979	Tester_CA	2023_11_10	2.5	Crash2.5	1	KN100	H
2.2	144.4	Laianzhi black HYX1002 medium	226	208	159	207	178	153	152	144	122	168	57	185		Tester_FTTP_AF	2023_11_08	2.5	Crash2.5	1	KN100	H
1.9	77.8	Laianzhi black HYX1002 medium	128	27	101	97	43	128	107	78	148	156	61	157		Tester_FTTP_AF	2023_11_08	2.5	Crash2.5	1	KN100	H
1.8	60.4	Laianzhi black HYX1002 medium	109	110	130	119	38	129	124	30	39	69	26	99		Tester_FTTP_AF	2023_11_08	2.5	Crash2.5	1	KN100	H
1.4	27	Laianzhi black HYX1002 medium	87	36	59	57	20	80	31	49	23	35	10	12		Tester_FTTP_AF	2023_11_07	2.5	Crash2.5	1	KN100	H
2.3	188.1	Laianzhi black HYX1002 medium	311	52	463	427	133	391	271	284	163	129	395	317		Tester_FTTP_AM	2023_11_07	2.5	Crash2.5	1	KN100	H
2	103.5	Laianzhi black HYX1002 medium	51	91	165	163	131	107	74	113	146	93	123	124		Tester_FTTP_AM	2023_11_08	2.5	Crash2.5	1	KN100	H
2.4	225.4	Laianzhi black HYX1002 medium - extended torture test 01	281	187	243	196	79	420	386	173	348	338	387	303		Tester_FTTP_AM	2023_11_15	2.5	Crash2.5	2	KN100	H
2.5	286	Laianzhi black HYX1002 medium - extended torture test 02	416	264	520	361	275	108	513	224	392	204	436	497		Tester_FTTP_AM	2023_11_15	2.5	Crash2.5	2	KN100	H
2.3	197.5	Laianzhi black HYX1002 medium - extended torture test 03	253	116	243	328	327	194	133	306	136	158	320	192		Tester_FTTP_AM	2023_11_15	2.5	Crash2.5	2	KN100	H
2.3	188.5	Laianzhi black HYX1002 medium - extended torture test 04	228	105	303	508	254	274	149	78	283	418	186	165	seal integrity: 0.994	Tester_FTTP_AM	2023_11_15	2.5	Crash2.5	2	KN100	H
2.3	203.8	Laianzhi black HYX1002 medium - extended torture test 05	332	378	336	294	279	141	316	99	91	340	236	211	seal integrity 0.993	Tester_FTTP_AM	2023_11_15	2.5	Crash2.5	2	KN100	H
2.2	171.3	Laianzhi black HYX1002 medium - extended torture test 06	272	416	654	373	289	215	341	82	93	132	146	88	seal integrity 0.993	Tester_FTTP_AM	2023_11_15	2.5	Crash2.5	2	KN100	H
2	96	Laianzhi black HYX1002 medium - extended torture test 07	203	138	325	158	26	120	62	113	138	112	88	242	seal integrity: 0.987	Tester_FTTP_AM	2023_11_15	2.5	Crash2.5	2	KN100	H
1.8	61.6	Laianzhi black HYX1002 medium - extended torture test 08	450	115	111	150	85	75	29	76	51	35	40	45	seal integrity 0.982	Tester_FTTP_AM	2023_11_15	2.5	Crash2.5	2	KN100	H
2.3	204.1	Laianzhi black HYX1002 medium - extended torture test 09	290	137	238	199	161	245	284	261	197	154	181	245	seal integrity: 0.970	Tester_FTTP_AM	2023_11_15	2.5	Crash2.5	2	KN100	H
2.3	202.7	Laianzhi black HYX1002 medium - extended torture test 10	113	174	114	357	260	179	434	279	187	197	293	258	less jaw motion that usual at ex 6-12, seal integrity: 0.989	Tester_FTTP_AM	2023_11_15	2.5	Crash2.5	2	KN100	H
1.9	86.7	Laianzhi black HYX1002 medium - extended torture test 11	372	437	368	261	91	106	54	58	55	61	67	47	nonsense results seal integrity: 0.960	Tester_FTTP_AM	2023_11_15	2.5	Crash2.5	2	KN100	H
1.5	29	Laianzhi black HYX1002 medium - size3 extended torture test 01	67	25	44	47	73	16	56	18	34	34	12	42		Tester_FTTP_AF	2023_11_16	2.5	Crash2.5	2	KN100	H
1.2	17.7	Laianzhi black HYX1002 medium - size3 extended torture test 02	33	34	34	21	19	45	32	9.5	11	10	9.8	27		Tester_FTTP_AF	2023_11_16	2.5	Crash2.5	2	KN100	H
1.5	31.8	Laianzhi black HYX1002 medium - size3 extended torture test 03	34	33	35	70	43	55	41	10	51	34	23	61		Tester_FTTP_AF	2023_11_16	2.5	Crash2.5	2	KN100	H
1.7	49.1	Laianzhi black HYX1002 medium - size3 extended torture test 04	24	48	87	122	99	30	44	49	46	49	60	60		Tester_FTTP_AF	2023_11_16	2.5	Crash2.5	2	KN100	H
1.5	35	Laianzhi black HYX1002 medium - size3 extended torture test 05	34	61	66	27	37	66	30	70	25	19	21	67		Tester_FTTP_AF	2023_11_16	2.5	Crash2.5	2	KN100	H
1.6	42.6	Laianzhi black HYX1002 medium - size3 extended torture test 06	70	36	81	61	13	26	64	75	39	114	116			Tester_FTTP_AF	2023_11_16	2.5	Crash2.5	2	KN100	H
1.6	37.8	Laianzhi black HYX1002 medium - size3 t2 extended torture test 01	76	41	107	24	24	34	47	33	41	30	25	122		Tester_FTTP_AF	2023_11_17	2.5	Crash2.5	2	KN100	H
1.6	39.9	Laianzhi black HYX1002 medium - size3 t2 extended torture test 02	48	22	30	22	16	55	44	72	155	200	50	141		Tester_FTTP_AF	2023_11_17	2.5	Crash2.5	2	KN100	H
1.8	63.1	Laianzhi black HYX1002 medium - size3 t2 extended torture test 03	140	88	117	99	23	75	68	31	134	126	38	134		Tester_FTTP_AF	2023_11_17	2.5	Crash2.5	2	KN100	H
1.3	18.5	Laianzhi KLT01 FFP2	18	16	19	18	20	18	28	22	23	15	17	15		Tester_NOMS_AM	2023_08_01	2	CrashFTTP-like, improvised spacers	1	FFP2	H
1	9.7	Laianzhi KP302	74	66	25	26	13	9.5	8.6	6.6	7.5	6.4	4.9	5.5	candles 1E6	Tester_FTTP_AM	2023_03_17		Crash	1	FFP3	H
2.1	133.7	Laianzhi KP302	180	123	162	112	110	142	139	130	151	144	127	118		Tester_NOMS_AM	2023_08_12	2	CrashFTTP-like, improvised spacers	1	FFP3	H
1.9	72.7	Laianzhi KP302	46	87	61	72	74	77	76	72	90	83	74	88		Tester_NOMS_AM	2023_08_30	2	CrashFTTP-like, improvised spacers	1	FFP3	H
1.7	55.1	Laianzhi KP302	676	173	539	507	204	677	574	150	5.5	434	173	491	Re-form wire	Tester_NOMS_AM	2023_08_13	2	CrashFTTP-like, improvised spacers	1	FFP3	H
1.6	42.1	Laianzhi KP302	29	33	35	35	48	48	44	58	46	38	62	57	Nose leak	Tester_NOMS_AM	2023_08_13	2	CrashFTTP-like, improvised spacers	1	FFP3	H
1.8	65.6	Laianzhi TP301	97	28	88	51	76	84	85	73	82	66	68	75	(sent in by Emil)	Tester_FTTP_AM	2023_04_28		Crash	1	FFP3	H
1.7	52.8	Laianzhi TP301	29	60	86	53	65	57	21	83	95	84	47	108	(sent in by Emil)	Tester_FTTP_AM	2023_04_28		Crash	1	FFP3	H
0.8	5.9	Laianzhi YX011	11	4.9	16	4.8	5.8	9.6	10	6.6	3.6	6	5.9	3.2	full test with speech	Tester_FTTP_AM	2023_03_31		Crash	1	FFP2	H
0.5	3	Laianzhi YX011-xs	2.7	3.6	3.7	3.5	3.1	3.2	3.2	2.9	3	2.6	2.8	2.3		Tester_FTTP_AM	2023_03_31		Crash	1	FFP2	H
0.4	2.7	Laianzhi YX011-xs	3.3	3.1	2.4	2.5	2.3	2.4	2.4	3.3	2.6	2.7	3.4	3		Tester_FTTP_AM	2023_03_31		Crash	1	FFP2	H
2.1	138.7	Laianzhi YXP301	183	140	137	145	107	135	145	160	126	122	188	120	(sent in by LL) 4 lucy in the sky start, 5 lucy 2, 6 lucy 3, 7 nothing, 8 nothing, 9 nothing, 10 private pyle - "not a mask I would use all day but not terrible"	Tester_FTTP_AF	2023_04_01		CrashUM	1	FFP3	H
2	100.3	Laianzhi YXP301	164	206	181	98	130	114	113	42	152	151	46	113	(sent in by LL) 4 - head movement, 8 private pyle, 10 up head movement, 11 private pyle again	Tester_FTTP_AF	2023_04_01		CrashUM	1	FFP3	H
2	91	Laianzhi YXP301	163	51	158	141	147	154	171	41	112	152	35	194		Tester_FTTP_AF	2023_11_17	2.5	Crash2.5	1	FFP3	H
1.8	66	Laianzhi YXP301	59	14	164	209	105	102	141	95	151	189	35	193		Tester_FTTP_AF	2023_11_17	2.5	Crash2.5	1	FFP3	H
2	108.6	Laianzhi YXP301	80	149	83	89	110	129	109	121	156	105	106	120	(sent in by LL)	Tester_FTTP_AM	2023_03_31		Crash	1	FFP3	H
2	108	Laianzhi YXP301	133	109	105	117	115	79	116	97	104	96	133	117	(sent in by LL)	Tester_FTTP_AM	2023_04_01		Crash	1	FFP3	H
2	106.4	Laianzhi YXP301	114	65	88	101	120	70	161	151	130	112	160	111	(sent in by LL)	Tester_FTTP_AM	2023_04_02		Crash	1	FFP3	H
2	96.3	Laianzhi YXP301	127	130	122	117	145	131	105	100	85	75	67	55	(sent in by LL)	Tester_FTTP_AM	2023_03_31		Crash	1	FFP3	H
1.5	30.1	Laianzhi YXP301	30	25	31	35	28	32	36	23	33	28	27	42		Tester_NOMS_AM	2023_08_10	2	CrashFTTP-like, improvised spacers	1	FFP3	H
1.2	16.4	Laianzhi YXP301	14	16	15	15	23	18								Tester_NOMS_AM	2023_08_26	2	CrashFTTP-like, improvised spacers	1	FFP3	H
1.2	14.6	Laianzhi YXP301	15	17	14	14	14	14								Tester_NOMS_AM	2023_08_26	2	CrashFTTP-like, improvised spacers	1	FFP3	H
1.1	12.4	Laianzhi YXP301	16	15	9.8	8.7	13	11	13	16	17	10	18	10		Tester_NOMS_AM	2023_08_08	2	CrashFTTP-like, improvised spacers	1	FFP3	H
1.1	11.7	Laianzhi YXP301	8.5	10	10	10	13	12	15	11	15	11	22	12		Tester_NOMS_AM	2023_08_11	2	CrashFTTP-like, improvised spacers	1	FFP3	H
0.7	4.9	Laianzhi YXP301	4.9	5.5	5.4	5.4	5	3.9								Tester_NOMS_AM	2023_08_26	2	CrashFTTP-like, improvised spacers	1	FFP3	H
1.9	76.1	Laianzhi YXP311	59	83	66	64	80	79	69	80	102	75	101	79	Re-form wire	Tester_NOMS_AM	2023_08_26	2	CrashFTTP-like, improvised spacers	1	FFP3	H
1.8	59.1	Laianzhi YXP311	70	55	59	57	54	48	57	52	59	60	77	74		Tester_NOMS_AM	2023_08_26	2	CrashFTTP-like, improvised spacers	1	FFP3	H
1.8	57.9	Laianzhi YXP311	55	51	53	55	58	62	63	59	66	62	52	64		Tester_NOMS_AM	2023_08_10	2	CrashFTTP-like, improvised spacers	1	FFP3	H
1.8	57.2	Laianzhi YXP311	54	52	57	57	58	65	59	59	64	54	54	56		Tester_NOMS_AM	2023_08_11	2	CrashFTTP-like, improvised spacers	1	FFP3	H
1.5	30.6	Laianzhi YXP311	32	26	34	36	29	30	27	34	26	28	40	32		Tester_NOMS_AM	2023_08_26	2	CrashFTTP-like, improvised spacers	1	FFP3	H
0.5	2.9	Levenis Good Comfort KN95 GK-002A	3	2.7	2.7	3.6	3	3	3	2.7	2.8	3.1	2.5	2.7	2.8	Tester_FTTP_AF	2023_11_09	2.5	Crash2.5	1	KN95	E
0.4	2.7	Levenis Good Comfort KN95 GK-002A	3.9	2.4	2.4	2.4	2.6	2.7	2.8	2.7	2.5	2.6	2.7	3.1	2.6	Tester_FTTP_AF	2023_11_09	2.5	Crash2.5	1	KN95	E
0.4	2.5	Levenis Good Comfort KN95 GK-002A	2.7	2.4	4.3	3.8	2.7	2.6	2.8	2.5	2.4	2.3	2	1.5	2.4	Tester_FTTP_AF	2023_11_09	2.5	Crash2.5	1	KN95	E
0.6	4.1	Levenis Good Comfort KN95 GK-002A	20	2.9	2.8	3.6	5.2								interrupted	Tester_FTTP_AM	2023_11_10	2.5	Crash2.5	1	KN95	E
0.3	2.2	Levenis Good Comfort KN95 GK-002A	2.8	3.3	3.1	5.3	3.1	2.7	3.2	2	2.3	1.1	1.7	1.1		Tester_FTTP_AM	2023_11_10	2.5	Crash2.5	1	KN95	E
0.3	2.1	Levenis Good Comfort KN95 GK-002A	9.5	3.5	3.9	4	3.9	2.1	3	2.2	1.1	1.2	1.4	1.4		Tester_FTTP_AM	2023_11_10	2.5	Crash2.5	1	KN95	E
1	10.1	LG Airwasher KF94 black	157	38	10	12	21	8.9	6.4	16	4.8	9.7	15	4.7		Tester_CA	2023_06_23			1	KF94	E
0.7	4.9	LG Airwasher KF94 black	144	20	6.8	14	10	3	2.9	5.9	4.3	2.6	4	2.9		Tester_CA	2023_06_23			1	KF94	E
0.5	3.5	LG Airwasher KF94 black	12	4	3.8	2.8	3.8	4.5	2.9	3.3	3.2	3.3	3	2.5	Didn't come off, just sucked	Tester_LP_AM	2023_08_25	2.5	Crash2.5	1	KF94	E
0.3	2.1	LG Airwasher KF94 black	16	2.1	2	2.1	1.8	1.8	2.2	2	2.1	1.9	1.9	1.9	Came off nose with jaw movement	Tester_LP_AM	2023_08_25	2.5	Crash2.5	1	KF94	E
1	9.8	Makrite 9500-N95	6.6	11	13	10	10	9.7	10	10	9.5	8.6	12	10		Tester_FTTP_AF	2023_04_10			1	N95	H
1.3	19.9	Makrite 9500-N95	50	20	37	20	23	32	21	34	20	9.7	17	11		Tester_FTTP_AM	2023_04_10		Crash	1	N95	H
1	9.7	Makrite 9500-N95	13	5.5	19	10	9.1	9.7	12	11	12.1	11	7.1	7.8		Tester_FTTP_AM	2023_04_10		Crash	1	N95	H
0.9	7.9	Makrite 9500-N95S	11	11	8.6	7.7	5.7	7.3	4.5	8.5	10	10	10	6.9	3 pop on rocks, 7 unscheduled laugh, 12 yawn	Tester_FTTP_AF	2023_04_10			1	N95	H
0.9	7.9	Makrite 9500-N95S	21	19	10	7.6	6.5	5.3	5.1	6.7	8.7	8.3	11	5.7		Tester_FTTP_AM	2023_04_10		Crash	1	N95	H
0.9	7.4	Makrite 9500-N95S	20	17	15	12	6.7	3.9	5.7	5.1	7.2	5	9.5	7.5		Tester_FTTP_AM	2023_04_10		Crash	1	N95	H
0.4	2.6	Masklab jetsetter	3.3	2.7	2.4	2.3	3.1	2.5	2.9	2.7	2.3	2.1	2.4	2.8	ambient	Tester_FTTP_AM	2023_03_11		Crash	1		E
0.4	2.5	Masklab jetsetter	2.3	2.2	3.6	2.3									ambient	Tester_FTTP_AM	2023_03_11		Crash	1		E
4.3	20356.1	MCU-2/P with Scott Enforcement (antique)	73900	27000	46800	51800	85700	34600	61800	4020	27700	17500	42100	13200		Tester_0022_AF	2023_10_18	4	Crash4.0	6		H
4.2	17032.7	MCU-2/P with Scott Enforcement (antique)	167000	7140	23700	11400	14600	17400	19610	19500	14700	21700	28000	19800		Tester_0022_AF	2023_10_18	4	Crash4.0	6		H
2	96.1	MFA P-367 FFP3 NE R	176	198	165	230	270	167	134	88	90	118	41	32	Crash2.5 cm stress test	Tester_FIG_AM	2023_08_18	2.5	Crash2.5	1	FFP3	H
1.4	24	Microclimate Air2, fan high	27	28	23	21	25	22	22	23	24	23	25	27	w/ hose on chin area. Doing exercises wrong. Going of unreliable approx memory of various numbers for the exercises, I didn’t log. Older filter & not cleaned in some time.	Tester_Toba	2023_04_13			1		PAPR
2	92.8	Microclimate Air2, fan low	99	98			86	87	93	85	93	110	89		w/ hose on chin area. Fan low. Doing exercises wrong. Older filter & not cleaned in some time.	Tester_Toba	2023_04_13			1		PAPR
1.5	31.9	Microclimate Air2, fan medium	39	35	35	35	33	31	33	37	32	27	26	26	w/ hose on chin area. Fan medium. Doing exercises wrong. Older filter & not cleaned in some time.	Tester_Toba	2023_04_13			1		PAPR
1.9	78.3	mid tier "non-zero check" filter - 9933-11-DQ 9933-05-CQ glass fiber exhaust filter - 15k-25k candle	80	76	71	72	75	76	81	83	85	88				n/a no human	2023_05_16			3		
1.3	21.5	mid tier "non-zero check" filter - 9933-11-DQ 9933-05-CQ glass fiber exhaust filter - 4k candle	17	18	18	18	21	24	24	25	27	32				n/a no human	2023_05_16			3		
2.1	140.7	mod 3M Aura 9210+ (both straps over head, stapled at chin). 2 week, sweated in OLD mask	119	133	143	143	125	145	132	133	136	190	170	145	was trying t test what happens when mask super sweaty	Tester_0020_AF	2023_10_29			4	N95	
2.2	160.3	mod Drager1950small with sip valve taking 4 sips	157	100	176	194	226	116	117	153	205	167	254	212	drink at 2, 5, 7, 10	Tester_FTTP_AM	2023_05_05		Crash	4	N95	
2.4	239	mod Drager1950small with sip valve uncapped	255	285	279	199	296	150	315	387	351	127	331	216		Tester_FTTP_AM	2023_05_05		Crash	4	N95	
1.4	27.5	mod Jackson Safety duckbill (both straps over head)	50	40	30	28	25	31	34	24	25	28	19	20	straps don’t make much difference here because of how they are attached to the mask. One strap does the job similarly as two	Tester_0020_AF	2023_10_29			4	N95	
2.3	212.1	mod sip valve, Drager1950small	283	314	187	266	165	203	155	245	233	245	138	277	with sip valve capped	Tester_FTTP_AM	2023_05_05		Crash	4	N95	
2.3	179.7	mod sip valve, Drager1950small	160	216	131	295	189	192	92	219	344	205	141	246	7 burst weld from speech,  with sip valve installed, unused	Tester_FTTP_AM	2023_05_05		Crash	4	N95	
2.5	303.6	mod stapled at chin tab, 3M 1863+	330	364	310	219	361	201	573						Stapled at chin, probe higher, tightened straps with extra staple	Tester_0020_AF			OSHA 29CFR1910.134 NNC	4	FFP3	
2.4	229.6	mod stapled at chin tab, 3M 1863+ 	308	248	193	228	176	170	480						Stapled at chin, probe higher 	Tester_0020_AF			OSHA 29CFR1910.134 NNC	4	FFP3	
2.4	224.2	mod stapled at chin tab, 3M 1863+ 	251	166	251	200	230	198	353						Stapled at chin, probe higher, tightened straps with extra staple	Tester_0020_AF			OSHA 29CFR1910.134 NNC	4	FFP3	
2.2	170.2	mod stapled at chin tab, 3M 1863+ 	299	160	162	146	250	126	152						Stapled at chin, probe higher 	Tester_0020_AF			OSHA 29CFR1910.134 NNC	4	FFP3	
2.4	226.9	mod stapled at chin tab, 3M 9205+	362	147	445	227	240	127	386						tested on 8048, test 2, Stapled at chin, both straps overhead	Tester_0020_AF	2023_09_18		OSHA 29CFR1910.134 NNC	4	N95	
2.2	166	mod stapled at chin tab, 3M 9205+	242	91	217	171	189	139	243						tested on 8020, Stapled at chin, both straps overhead	Tester_0020_AF	2023_09_18		OSHA 29CFR1910.134 NNC	4	N95	
2	100.1	mod straps over head - Drager 1950 ML	97	121	111	122	128	118	121	97	93	89	75	72	The only change here is putting both straps over head!	Tester_0020_AF	2023_10_29			4		
2.2	162.6	mod straps over head - Vitacore CAN99 model 9500	111	179	257	178	176	106	152	210	185	167	160	179	straps over head -- this one makes it WORSE! It somehow lifts the nose part up too much. First tiem this happens	Tester_0020_AF	2023_10_29			4		
2.1	120.2	mod straps over head, 3M 9205+	188	85	166	163	86	88	166						tested on 8048, Stapled at chin, both straps overhead	Tester_0020_AF	2023_09_18		OSHA 29CFR1910.134 NNC	4	N95	
2.2	166	mod straps over head, 3M 9205+	242	91	217	171	189	139	243						Stapled at chin, both straps overhead, on 8020	Tester_0020_AF			OSHA 29CFR1910.134 NNC	4	N95	
2.4	226.9	mod straps over head, 3M 9205+	362	147	445	227	240	127	386						Stapled at chin, both straps overhead,  on 8020 (test 2)	Tester_0020_AF			OSHA 29CFR1910.134 NNC	4	N95	
1.2	15.2	mod tension,  Airgami L Headband	9	27	21	10	12	10	11	9.5	67	16	52	66	mod: adjusting headstraps	Tester_FTTP_AM	2023_08_12	2.5	Crash2.5	4		
1.1	11.7	mod tension,  Airgami L Headband	18	31	6.9	75	62	59	7.2	6.2	7.5	12	7.2	11	mod: adjusting headstraps	Tester_FTTP_AM	2023_08_12	2.5	Crash2.5	4		
0.8	5.9	mod tension,  Airgami Small Headband, max tension	5.2	8.5	7.7	6.5	8.3	5.8	6.4	7.3	7.9	5.3	8.7	2.4	didn't find the top strap until months later, only adjusted lower strap	Tester_FTTP_AM	2023_01_30		Crash	4		
2	107.3	mod tension,  imaskUA iMask2	223	83	139	150	74	173	151	68	125	120	59	133		Tester_CA	2023_06_23			4	FFP2	
1.9	88.7	mod tension,  imaskUA iMask2	119	249	146	273	238	89	241	191	179	31	25	103	breathability moderate, regular rainbow test at ex10	Tester_FTTP_AM	2023_01_23		Crash	4	FFP2	
1.9	85.2	mod tension,  imaskUA iMask2	142	86	69	130	72	103	99	71	74	107	87	56	32cm	Tester_FTTP_AM	2023_03_13		Crash	4	FFP2	
1.9	74.6	mod tension,  imaskUA iMask2	127	107	106	112	33	83	74	68	88	106	48	77	32cm	Tester_FTTP_AM	2023_03_13		Crash	4	FFP2	
2	110.4	mod tension,  imaskUA iMask2	41	106	185	137	150	171	101	135	143	111	142	108	30cm	Tester_FTTP_AM	2023_01_10		CrashUM	4	FFP2	
1.8	60.8	mod tension,  imaskUA iMask2	61	93	70	63	58	49	58	67	56	48	73	56	12cm	Tester_FTTP_AM	2023_03_13		Crash	4	FFP2	
2.1	133.1	mod tension,  imaskUA iMask2	159	142	165	193	156	180	149	142	153	101	87	84	18cm	Tester_FTTP_AM	2023_05_20		Crash	4	FFP2	
1.9	73.9	mod tension,  imaskUA iMask2	81	70	76	75	75	78	65	93	77	86	62	62	18cm	Tester_FTTP_AM	2023_05_20		Crash	4	FFP2	
1.8	60.1	mod tension,  imaskUA iMask2	64	80	64	72	60	60	76	64	59	53	59	37	18cm	Tester_FTTP_AM	2023_05_20		Crash	4	FFP2	
1.8	58.2	mod tension,  imaskUA iMask2	51	58	61	71	72	67	58	36	65	64	66	53	18cm	Tester_FTTP_AM	2023_05_20		Crash	4	FFP2	
1.7	55.7	mod tension,  imaskUA iMask2	58	62	55	55	48	54	55	56	54	50	65	61	18cm	Tester_FTTP_AM	2023_05_20		Crash	4	FFP2	
1.8	62.6	mod tension,  imaskUA iMask2	56	49	66	82	96	65	65	70	42	73	72	52	18cm	Tester_FTTP_AM	2023_05_20		Crash	4	FFP2	
1.5	34.9	mod tension,  imaskUA iMask2	63	44	82	54	33	32	23	19	32	42	34	31	18cm	Tester_FTTP_AM	2023_05_20		Crash	4	FFP2	
1.7	45.4	mod tension,  imaskUA iMask2	33	30	32	41	56	54	55	53	48	63	59	55	18cm	Tester_FTTP_AM	2023_05_20		Crash	4	FFP2	
1.8	62.6	mod tension,  imaskUA iMask2	59	76	65	59	92	68	73	42	50	73	76	52	28cm	Tester_FTTP_AM	2023_01_19		CrashUM	4	FFP2	
1.6	42.5	mod tension,  imaskUA iMask2	62	39	38	38	41	30	52	65	43	35	44	48	blue	Tester_FTTP_AM	2023_02_09		Crash	4	FFP2	
